City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,mahibadhoo,3.7833,72.9667,85.06,75,95,18.95,MV,1651467937
319,erenhot,43.6475,111.9767,71.49,15,39,8.19,CN,1651467938
320,auki,-8.7676,160.7034,82.96,76,100,3.0,SB,1651467511
321,bhimunipatnam,17.8833,83.4333,92.71,57,16,17.58,IN,1651467939
322,candido mendes,-1.4467,-45.7167,74.05,96,100,1.95,BR,1651467940
323,saint-pierre,-21.3393,55.4781,81.28,65,0,4.61,RE,1651467539
324,orange cove,36.6244,-119.3137,68.58,53,0,4.74,US,1651467940
325,okha,53.5739,142.9478,33.84,93,98,8.75,RU,1651467941
326,tarpon springs,28.1461,-82.7568,72.95,90,0,0.0,US,1651467744
327,muli,2.9167,73.5667,84.85,76,97,20.76,MV,1651467942
328,keffi,8.8486,7.8736,74.37,79,88,2.73,NG,1651467943
329,srednekolymsk,67.45,153.6833,31.96,100,100,3.11,RU,1651467755
330,senanga,-16.1167,23.2667,56.64,71,2,4.99,ZM,1651467944
331,riosucio,5.4216,-75.7032,57.96,97,99,0.94,CO,1651467944
332,abu dhabi,24.4667,54.3667,80.96,52,0,3.0,AE,1651467900
333,sinjar,36.3209,41.8754,65.73,60,9,5.86,IQ,1651467945
334,lorengau,-2.0226,147.2712,83.57,74,98,1.59,PG,1651467946
335,haines junction,60.7522,-137.5108,44.55,57,99,8.05,CA,1651467488
336,morondava,-20.2833,44.2833,72.05,70,0,8.93,MG,1651467947
337,nemuro,43.3236,145.575,42.03,94,96,12.01,JP,1651467555
338,shaoguan,24.8,113.5833,72.32,52,100,5.17,CN,1651467947
339,tabou,4.423,-7.3528,80.02,83,63,4.18,CI,1651467493
340,faanui,-16.4833,-151.75,81.12,74,77,10.36,PF,1651467948
341,katobu,-4.9408,122.5276,90.63,46,22,6.93,ID,1651467949
342,peruibe,-24.32,-46.9983,71.17,90,70,3.31,BR,1651467917
343,elizabeth city,36.2946,-76.2511,69.82,82,100,6.15,US,1651467859
